run_id,model_name,metric_name,phase,mean,var,data_length
c2c7b55a0e354f4799250bea7fc495ab,resnet34_add_4_imagenet,loss,downstream,0.7724977930633696,1.713177525357098,12811
04fb50b5ce184f79a474c74770f76855,resnet34_add_7_imagenet,loss,stitching,0.8068646519840197,1.7716361791045085,12811
04fb50b5ce184f79a474c74770f76855,resnet34_add_7_imagenet,loss,downstream,0.7911368532611118,1.8120266779661576,12811
bf1e9aa4ed3b44269d3c70417a2239fb,resnet34_add_8_imagenet,loss,stitching,0.8096391271499175,1.7767648347173088,12811
bf1e9aa4ed3b44269d3c70417a2239fb,resnet34_add_8_imagenet,loss,downstream,0.7886026029851515,1.7974230227316343,12811
000f522cf3074202a28f9b6347206fbf,resnet34_add_10_imagenet,loss,stitching,0.8195143852344919,1.8210931780086357,12811
000f522cf3074202a28f9b6347206fbf,resnet34_add_10_imagenet,loss,downstream,0.8038040173132578,1.8599008484599289,12811
56af5be6a28f49e3be1263cca79d05be,resnet34_add_8_imagenet,loss,stitching,0.8223228673431755,1.781547223505426,12811
56af5be6a28f49e3be1263cca79d05be,resnet34_add_8_imagenet,loss,downstream,0.8005668095716559,1.8081974712849849,12811
594ddfa2cabe46ad8f41f5d368b0ae54,resnet34_add_11_imagenet,loss,stitching,0.8912664249620617,1.9305676671683187,12811
594ddfa2cabe46ad8f41f5d368b0ae54,resnet34_add_11_imagenet,loss,downstream,0.8968152663378118,2.0939071759376113,12811
39ca85db48d94142adb2a27f9d3ef496,resnet34_add_12_imagenet,loss,stitching,0.897374697414365,1.9493843968653426,12811
39ca85db48d94142adb2a27f9d3ef496,resnet34_add_12_imagenet,loss,downstream,0.8700199370482665,2.056053314812119,12811
76fe2f6c9ecd4067bf6acd8cb9b782d2,resnet34_add_13_imagenet,loss,stitching,0.9085290027218921,2.2330103881493306,12811
76fe2f6c9ecd4067bf6acd8cb9b782d2,resnet34_add_13_imagenet,loss,downstream,0.9630824594900053,2.454877579800297,12811
d06b6ba9055842d5920172ca819d4f27,resnet34_add_14_imagenet,loss,stitching,0.9158261448376966,2.373880672812614,12811
d06b6ba9055842d5920172ca819d4f27,resnet34_add_14_imagenet,loss,downstream,0.9489251521064916,2.499256719931035,12811
