run_id,model_name,metric_name,phase,mean,var
dc92aac5197741e9adca35cbae435722,resnet50_add_12_imagenet,loss,downstream,17148.76005427266,3591760340402.451
4fb2ea9e5cb34819b29ac29084f41441,resnet50_add_10_imagenet,loss,stitching,8318.361153591552,776208213514.579
4fb2ea9e5cb34819b29ac29084f41441,resnet50_add_10_imagenet,loss,downstream,17616.7174720265,3375168162014.5947
de3551873eac4262a0ca3f0a4540cb16,resnet50_add_12_imagenet,loss,stitching,2431.5520468202235,60885762146.09771
de3551873eac4262a0ca3f0a4540cb16,resnet50_add_12_imagenet,loss,downstream,4730.195144450881,243933248732.7045
a5b65e8636b14af6ab1f26594ee81fd4,resnet50_add_15_imagenet,loss,stitching,138.6735307287413,2556686.520382714
a5b65e8636b14af6ab1f26594ee81fd4,resnet50_add_15_imagenet,loss,downstream,17510.80503147918,3469554748577.4
85402661de1e49b98f65240bec2c8fb2,resnet34_add_1_imagenet,loss,stitching,9.633858710944748,2909.436715845576
85402661de1e49b98f65240bec2c8fb2,resnet34_add_1_imagenet,loss,downstream,57.74347996193262,2630730.3887452264
4e2c562490b2473bb24f72d6c691bd44,resnet34_add_2_imagenet,loss,stitching,9.901869553402024,3209.3437400210278
4e2c562490b2473bb24f72d6c691bd44,resnet34_add_2_imagenet,loss,downstream,55.3497475388529,1915481.2336942705
179ecf64c8674d1caec62a85dfcafc5a,resnet34_add_3_imagenet,loss,stitching,12.561472083532124,10904.795648797077
179ecf64c8674d1caec62a85dfcafc5a,resnet34_add_3_imagenet,loss,downstream,59.9433887940085,3024458.967244585
cb346305f1064f64a4e4fe50b7ba517c,resnet34_add_4_imagenet,loss,stitching,10.987198088803055,4615.749293061162
cb346305f1064f64a4e4fe50b7ba517c,resnet34_add_4_imagenet,loss,downstream,76.156556366504,4567549.418671005
e9f1647d3ba24214914697b7279b1da7,resnet34_add_5_imagenet,loss,stitching,11.75431658157572,5948.692982524943
e9f1647d3ba24214914697b7279b1da7,resnet34_add_5_imagenet,loss,downstream,49.76787684852153,1790698.886832188
2e16016b67144d838aba4812461d3083,resnet34_add_3_imagenet,loss,stitching,11.58729447199006,3894.246892698722
2e16016b67144d838aba4812461d3083,resnet34_add_3_imagenet,loss,downstream,62.14812930971671,3221515.657668623
194b627944a0444fa31fc0f1b51aa323,resnet18_add_3_imagenet,loss,stitching,12.509267917748497,7174.486315037075
194b627944a0444fa31fc0f1b51aa323,resnet18_add_3_imagenet,loss,downstream,82.45077774849814,4385962.343943532
e3881c255373445fa1c96182929d26fa,resnet34_add_7_imagenet,loss,stitching,13.592743223770789,5465.911008453288
e3881c255373445fa1c96182929d26fa,resnet34_add_7_imagenet,loss,downstream,65.97383020732047,3315095.299903638
986a3d0fb1f7418a8c7efa53cd34c3f0,resnet34_add_6_imagenet,loss,stitching,12.562958216820114,5165.9603964556745
